tf,ticker,entry,exit,pnl,status,rules,regime,sample
H4,SBER,2023-09-18 05:00:00,2023-09-18 09:00:00,-7064.62,LOSS,osc_bull_div_mac_break+osc_micro_w_entry,volatile,IS
H4,SBER,2023-10-11 09:00:00,2023-10-17 13:00:00,29146.2,WIN,osc_bull_div_mac_break,volatile,IS
H4,SBER,2023-12-15 13:00:00,2023-12-18 09:00:00,990.65,WIN,osc_bull_div_mac_break,trending,IS
H4,SBER,2023-12-18 09:00:00,2023-12-18 13:00:00,1409.15,WIN,osc_bull_div_mac_break,trending,IS
H4,SBER,2023-12-18 13:00:00,2023-12-18 17:00:00,-459.3,LOSS,osc_bull_div_mac_break,trending,IS
H4,SBER,2023-12-18 17:00:00,2023-12-19 09:00:00,-12225.29,LOSS,osc_bull_div_mac_break,trending,IS
H4,SBER,2023-12-19 13:00:00,2023-12-19 17:00:00,-302.93,LOSS,osc_bull_div_mac_break,trending,IS
H4,SBER,2023-12-19 17:00:00,2023-12-20 13:00:00,-2982.22,LOSS,osc_bull_div_mac_break,volatile,IS
H4,SBER,2023-12-27 05:00:00,2023-12-27 09:00:00,-2627.06,LOSS,osc_bull_div_mac_break,volatile,IS
H4,SBER,2023-12-27 09:00:00,2024-01-04 05:00:00,10765.74,WIN,osc_bull_div_mac_break,volatile,IS
H4,SBER,2024-12-18 13:00:00,2024-12-20 09:00:00,73388.36,TARGET,osc_bull_div_mac_break+osc_micro_w_entry+osc_stoch_bull_cross,ranging,IS
H4,SBER,2025-03-04 05:00:00,2025-03-04 17:00:00,6374.75,WIN,osc_bull_div_mac_break,trending,OOS
H4,SBER,2025-03-04 17:00:00,2025-03-05 01:00:00,-5781.86,LOSS,osc_bull_div_mac_break,trending,OOS
H4,SBER,2025-03-05 01:00:00,2025-03-05 05:00:00,5366.51,WIN,osc_bull_div_mac_break,trending,OOS
H4,SBER,2025-03-05 05:00:00,2025-03-05 09:00:00,-327.45,LOSS,osc_bull_div_mac_break,trending,OOS
H4,SBER,2025-03-05 09:00:00,2025-03-05 17:00:00,-10355.02,LOSS,osc_bull_div_mac_break,volatile,OOS
H4,SBER,2025-03-05 17:00:00,2025-03-06 01:00:00,6047.27,WIN,osc_bull_div_mac_break,volatile,OOS
H4,SBER,2025-03-06 01:00:00,2025-03-06 05:00:00,-1289.54,LOSS,osc_bull_div_mac_break,volatile,OOS
H4,SBER,2025-03-06 05:00:00,2025-03-06 09:00:00,-1529.3,LOSS,osc_bull_div_mac_break,volatile,OOS
H4,SBER,2025-04-09 17:00:00,2025-04-10 13:00:00,-11609.66,LOSS,osc_bull_div_mac_break+osc_micro_w_entry,trending,OOS
H4,SBER,2025-05-17 13:00:00,2025-05-19 01:00:00,3247.73,WIN,osc_bull_div_mac_break,trending,OOS
H4,SBER,2025-05-19 01:00:00,2025-05-19 05:00:00,-3092.44,LOSS,osc_bull_div_mac_break,volatile,OOS
H4,SBER,2025-05-19 05:00:00,2025-05-19 09:00:00,4212.81,WIN,osc_bull_div_mac_break,volatile,OOS
H4,SBER,2025-05-19 09:00:00,2025-05-19 13:00:00,-4160.47,LOSS,osc_bull_div_mac_break,volatile,OOS
H4,SBER,2025-08-01 01:00:00,2025-08-05 05:00:00,-1643.59,LOSS,osc_micro_w_entry+osc_stoch_bull_cross,trending,OOS
H4,SBER,2025-09-17 13:00:00,2025-09-18 05:00:00,-3761.0,LOSS,osc_micro_w_entry+osc_stoch_bull_cross,trending,OOS
H4,SBER,2025-10-09 17:00:00,2025-10-15 05:00:00,-25595.45,STOPPED,osc_bull_div_mac_break,volatile,OOS
H4,SBER,2025-10-30 05:00:00,2025-10-30 17:00:00,2603.71,WIN,osc_bull_div_mac_break,volatile,OOS
H4,SBER,2025-10-30 17:00:00,2025-10-31 01:00:00,5479.51,WIN,osc_bull_div_mac_break,volatile,OOS
H4,SBER,2025-10-31 01:00:00,2025-10-31 05:00:00,-13608.58,LOSS,osc_bull_div_mac_break,volatile,OOS
H4,SBER,2025-10-31 05:00:00,2025-10-31 09:00:00,-1886.97,LOSS,osc_bull_div_mac_break,volatile,OOS
H4,SBER,2025-10-31 09:00:00,2025-11-05 01:00:00,8591.38,WIN,osc_bull_div_mac_break,volatile,OOS
H4,SBER,2025-11-18 17:00:00,2025-11-19 01:00:00,6335.88,WIN,osc_bull_div_mac_break,trending,OOS
H4,SBER,2025-11-19 01:00:00,2025-11-19 17:00:00,11416.37,WIN,osc_bull_div_mac_break,trending,OOS
H4,SBER,2025-11-19 17:00:00,2025-11-20 01:00:00,5596.88,WIN,osc_bull_div_mac_break,trending,OOS
H4,SBER,2025-11-20 01:00:00,2025-11-20 05:00:00,-6987.84,LOSS,osc_bull_div_mac_break,trending,OOS
H4,SBER,2025-11-20 05:00:00,2025-11-20 09:00:00,-2664.34,LOSS,osc_bull_div_mac_break,trending,OOS
H4,SBER,2025-11-20 09:00:00,2025-11-21 09:00:00,6243.97,WIN,osc_bull_div_mac_break,trending,OOS
H4,SBER,2025-12-01 17:00:00,2025-12-02 01:00:00,-1422.43,LOSS,osc_bull_div_mac_break,ranging,OOS
H4,SBER,2026-01-19 17:00:00,2026-01-20 01:00:00,1938.75,WIN,osc_bull_div_mac_break,trending,OOS
H4,SBER,2026-01-20 01:00:00,2026-01-20 05:00:00,-4752.9,LOSS,osc_bull_div_mac_break,trending,OOS
H4,SBER,2026-01-20 05:00:00,2026-01-20 09:00:00,1105.27,WIN,osc_bull_div_mac_break,trending,OOS
H4,SBER,2026-01-20 09:00:00,2026-01-20 13:00:00,1277.3,WIN,osc_bull_div_mac_break,trending,OOS
H4,SBER,2026-01-20 13:00:00,2026-01-21 13:00:00,5324.24,WIN,osc_bull_div_mac_break,trending,OOS
H4,SBER,2026-03-05 09:00:00,2026-03-06 05:00:00,2402.14,WIN,osc_bull_div_mac_break+osc_stoch_bull_cross,trending,OOS
H4,SBER,2026-03-06 05:00:00,2026-03-06 09:00:00,-2464.85,LOSS,osc_bull_div_mac_break,trending,OOS
H4,SBER,2026-03-06 09:00:00,2026-03-09 13:00:00,3907.95,WIN,osc_bull_div_mac_break,trending,OOS
H4,SBER,2026-05-04 05:00:00,2026-05-05 05:00:00,-12421.49,STOPPED,osc_bull_div_mac_break,trending,OOS
H4,GAZP,2023-09-28 17:00:00,2023-09-29 09:00:00,-13149.38,LOSS,osc_bull_div_mac_break,trending,IS
H4,GAZP,2023-10-02 05:00:00,2023-10-03 05:00:00,-18604.1,STOPPED,osc_bull_div_mac_break,volatile,IS
H4,GAZP,2023-10-16 09:00:00,2023-10-17 09:00:00,-2199.5,LOSS,osc_bull_div_mac_break,trending,IS
H4,GAZP,2023-10-17 09:00:00,2023-10-17 13:00:00,1393.88,WIN,osc_bull_div_mac_break,trending,IS
H4,GAZP,2023-10-17 13:00:00,2023-10-17 17:00:00,-1748.03,LOSS,osc_bull_div_mac_break,trending,IS
H4,GAZP,2023-10-17 17:00:00,2023-10-18 05:00:00,103.08,WIN,osc_bull_div_mac_break,trending,IS
H4,GAZP,2023-10-18 05:00:00,2023-10-18 09:00:00,-4658.21,LOSS,osc_bull_div_mac_break,trending,IS
H4,GAZP,2023-10-31 13:00:00,2023-11-02 05:00:00,10596.01,WIN,osc_micro_w_entry+osc_stoch_bull_cross,trending,IS
H4,GAZP,2023-12-07 17:00:00,2023-12-12 05:00:00,-2248.1,LOSS,osc_bull_div_mac_break,trending,IS
H4,GAZP,2024-01-31 09:00:00,2024-02-01 09:00:00,1871.97,WIN,osc_bull_div_mac_break+osc_stoch_bull_cross,trending,IS
H4,GAZP,2024-02-01 09:00:00,2024-02-01 13:00:00,-1341.77,LOSS,osc_bull_div_mac_break,trending,IS
H4,GAZP,2024-02-01 13:00:00,2024-02-02 17:00:00,-7235.15,STOPPED,osc_bull_div_mac_break,trending,IS
H4,GAZP,2024-04-27 13:00:00,2024-05-02 09:00:00,-16592.85,STOPPED,osc_bull_div_mac_break+osc_micro_w_entry,ranging,IS
H4,GAZP,2024-08-13 09:00:00,2024-08-14 13:00:00,-3537.46,LOSS,osc_bull_div_mac_break,ranging,IS
H4,GAZP,2024-09-17 13:00:00,2024-09-18 09:00:00,-6536.27,LOSS,osc_bull_div_mac_break+osc_micro_w_entry,volatile,IS
H4,GAZP,2025-01-29 01:00:00,2025-01-29 09:00:00,-9780.05,LOSS,osc_bull_div_mac_break,ranging,OOS
H4,GAZP,2025-03-04 05:00:00,2025-03-05 01:00:00,-3173.27,LOSS,osc_bull_div_mac_break,ranging,OOS
H4,GAZP,2025-03-05 05:00:00,2025-03-05 09:00:00,-4107.52,LOSS,osc_bull_div_mac_break,ranging,OOS
H4,GAZP,2025-03-05 09:00:00,2025-03-12 13:00:00,-30021.37,STOPPED,osc_bull_div_mac_break,ranging,OOS
H4,GAZP,2025-04-01 01:00:00,2025-04-01 09:00:00,-38249.48,STOPPED,osc_micro_w_entry+osc_stoch_bull_cross,trending,OOS
H4,GAZP,2025-04-10 09:00:00,2025-04-10 13:00:00,-14787.82,LOSS,osc_bull_div_mac_break+osc_micro_w_entry,trending,OOS
H4,GAZP,2025-04-11 05:00:00,2025-04-13 05:00:00,29120.31,WIN,osc_bull_div_mac_break,volatile,OOS
H4,GAZP,2025-04-13 05:00:00,2025-04-13 09:00:00,2594.01,WIN,osc_bull_div_mac_break,trending,OOS
H4,GAZP,2025-04-13 09:00:00,2025-04-14 01:00:00,-5071.53,LOSS,osc_bull_div_mac_break,trending,OOS
H4,GAZP,2025-04-14 01:00:00,2025-04-14 05:00:00,-2914.99,LOSS,osc_bull_div_mac_break,volatile,OOS
H4,GAZP,2025-04-14 05:00:00,2025-04-14 09:00:00,-11261.48,LOSS,osc_bull_div_mac_break,volatile,OOS
H4,GAZP,2025-04-14 09:00:00,2025-04-17 17:00:00,23518.72,WIN,osc_bull_div_mac_break,volatile,OOS
H4,GAZP,2025-06-13 01:00:00,2025-06-15 05:00:00,3712.91,WIN,osc_micro_w_entry+osc_stoch_bull_cross,trending,OOS
H4,GAZP,2025-06-15 09:00:00,2025-06-18 05:00:00,4936.32,WIN,osc_bull_div_mac_break,trending,OOS
H4,GAZP,2025-07-18 17:00:00,2025-07-19 09:00:00,9236.65,WIN,osc_bull_div_mac_break,trending,OOS
H4,GAZP,2025-07-19 09:00:00,2025-07-19 13:00:00,285.77,WIN,osc_bull_div_mac_break,trending,OOS
H4,GAZP,2025-07-19 13:00:00,2025-07-20 05:00:00,2278.89,WIN,osc_bull_div_mac_break,trending,OOS
H4,GAZP,2025-07-20 05:00:00,2025-07-20 13:00:00,-2669.56,LOSS,osc_bull_div_mac_break,trending,OOS
H4,GAZP,2025-07-20 13:00:00,2025-07-21 01:00:00,491.05,WIN,osc_bull_div_mac_break,trending,OOS
H4,GAZP,2025-07-21 01:00:00,2025-07-21 05:00:00,-5822.45,LOSS,osc_bull_div_mac_break,trending,OOS
H4,GAZP,2025-07-21 05:00:00,2025-07-21 09:00:00,2343.56,WIN,osc_bull_div_mac_break,trending,OOS
H4,GAZP,2025-07-21 09:00:00,2025-07-21 13:00:00,-331.62,LOSS,osc_bull_div_mac_break,trending,OOS
H4,GAZP,2025-07-21 13:00:00,2025-07-21 17:00:00,2751.06,WIN,osc_bull_div_mac_break,trending,OOS
H4,GAZP,2025-08-04 09:00:00,2025-08-05 05:00:00,5029.01,WIN,osc_bull_div_mac_break,trending,OOS
H4,GAZP,2025-08-05 05:00:00,2025-08-05 09:00:00,4107.11,WIN,osc_bull_div_mac_break,trending,OOS
H4,GAZP,2025-08-05 09:00:00,2025-08-05 13:00:00,368.09,WIN,osc_bull_div_mac_break,trending,OOS
H4,GAZP,2025-08-05 13:00:00,2025-08-06 05:00:00,-2097.66,LOSS,osc_bull_div_mac_break,trending,OOS
H4,GAZP,2025-08-18 17:00:00,2025-08-20 09:00:00,-19929.14,STOPPED,osc_bull_div_mac_break+osc_micro_w_entry+osc_stoch_bull_cross,ranging,OOS
H4,GAZP,2025-10-10 05:00:00,2025-10-16 17:00:00,48590.06,TARGET,osc_bull_div_mac_break,trending,OOS
H4,GAZP,2025-11-18 05:00:00,2025-11-18 17:00:00,-9604.94,LOSS,osc_bull_div_mac_break+osc_micro_w_entry,volatile,OOS
H4,GAZP,2025-12-26 09:00:00,2025-12-27 13:00:00,7003.48,WIN,osc_bull_div_mac_break,trending,OOS
H4,GAZP,2025-12-27 13:00:00,2025-12-28 05:00:00,-2340.12,LOSS,osc_bull_div_mac_break,trending,OOS
H4,GAZP,2025-12-28 05:00:00,2025-12-28 09:00:00,938.79,WIN,osc_bull_div_mac_break,trending,OOS
H4,GAZP,2025-12-28 09:00:00,2025-12-29 01:00:00,-2621.67,LOSS,osc_bull_div_mac_break,trending,OOS
H4,GAZP,2025-12-29 01:00:00,2025-12-29 09:00:00,8764.29,WIN,osc_bull_div_mac_break,trending,OOS
H4,GAZP,2025-12-29 09:00:00,2025-12-29 13:00:00,-21322.31,STOPPED,osc_bull_div_mac_break,trending,OOS
H4,GAZP,2026-04-20 01:00:00,2026-04-24 09:00:00,-14287.81,STOPPED,osc_micro_w_entry+osc_stoch_bull_cross,ranging,OOS
H4,GAZP,2026-05-28 05:00:00,2026-05-29 01:00:00,-7329.02,LOSS,osc_micro_w_entry+osc_stoch_bull_cross,trending,OOS
H4,GAZP,2026-06-02 05:00:00,2026-06-03 05:00:00,5101.39,WIN,osc_bull_div_mac_break,volatile,OOS
H4,GAZP,2026-06-29 13:00:00,2026-06-30 05:00:00,-2055.96,LOSS,osc_bull_div_mac_break,trending,OOS
H4,LKOH,2024-01-09 17:00:00,2024-01-10 13:00:00,4379.18,WIN,osc_bull_div_mac_break,ranging,IS
H4,LKOH,2024-01-10 13:00:00,2024-01-10 17:00:00,-1236.54,LOSS,osc_bull_div_mac_break,volatile,IS
H4,LKOH,2024-01-10 17:00:00,2024-01-11 05:00:00,131.33,WIN,osc_bull_div_mac_break,trending,IS
H4,LKOH,2024-01-11 05:00:00,2024-01-11 09:00:00,-1452.33,LOSS,osc_bull_div_mac_break,trending,IS
H4,LKOH,2024-01-11 09:00:00,2024-01-12 17:00:00,1560.2,WIN,osc_bull_div_mac_break,trending,IS
H4,LKOH,2024-03-20 17:00:00,2024-03-21 13:00:00,-2375.4,LOSS,osc_bull_div_mac_break,volatile,IS
H4,LKOH,2024-03-21 13:00:00,2024-03-21 17:00:00,-1035.18,LOSS,osc_bull_div_mac_break,ranging,IS
H4,LKOH,2024-03-22 05:00:00,2024-03-22 09:00:00,-26954.27,STOPPED,osc_bull_div_mac_break+osc_micro_w_entry,ranging,IS
H4,LKOH,2024-03-25 09:00:00,2024-03-28 09:00:00,6650.22,WIN,osc_micro_w_entry+osc_stoch_bull_cross,volatile,IS
H4,LKOH,2024-06-25 13:00:00,2024-06-26 09:00:00,9763.33,WIN,osc_bull_div_mac_break,trending,IS
H4,LKOH,2024-09-16 05:00:00,2024-09-16 13:00:00,16973.15,WIN,osc_bull_div_mac_break,ranging,IS
H4,LKOH,2024-09-16 13:00:00,2024-09-17 05:00:00,1904.99,WIN,osc_bull_div_mac_break,ranging,IS
H4,LKOH,2024-09-17 05:00:00,2024-09-17 09:00:00,-5223.03,LOSS,osc_bull_div_mac_break,volatile,IS
H4,LKOH,2024-09-17 09:00:00,2024-09-17 13:00:00,11898.8,WIN,osc_bull_div_mac_break,volatile,IS
H4,LKOH,2024-09-17 13:00:00,2024-09-17 17:00:00,-7576.51,LOSS,osc_bull_div_mac_break+osc_micro_w_entry,volatile,IS
H4,LKOH,2024-09-17 17:00:00,2024-09-18 09:00:00,-8749.98,LOSS,osc_bull_div_mac_break,volatile,IS
H4,LKOH,2024-10-03 13:00:00,2024-10-04 13:00:00,9495.07,WIN,osc_bull_div_mac_break+osc_stoch_bull_cross,ranging,IS
H4,LKOH,2025-04-09 17:00:00,2025-04-10 09:00:00,-15772.98,LOSS,osc_micro_w_entry+osc_stoch_bull_cross,trending,OOS
H4,LKOH,2025-05-18 05:00:00,2025-05-19 05:00:00,-8321.88,LOSS,osc_bull_div_mac_break,ranging,OOS
H4,LKOH,2025-06-13 01:00:00,2025-06-15 05:00:00,18302.4,WIN,osc_micro_w_entry+osc_stoch_bull_cross,trending,OOS
H4,LKOH,2025-06-27 17:00:00,2025-06-28 13:00:00,-613.29,LOSS,osc_bull_div_mac_break,volatile,OOS
H4,LKOH,2025-06-30 09:00:00,2025-07-01 05:00:00,16.42,WIN,osc_bull_div_mac_break+osc_micro_w_entry,ranging,OOS
H4,LKOH,2025-07-14 17:00:00,2025-07-15 09:00:00,-1549.37,LOSS,osc_bull_div_mac_break,trending,OOS
H4,LKOH,2025-07-15 09:00:00,2025-07-15 13:00:00,-1215.09,LOSS,osc_bull_div_mac_break,trending,OOS
H4,LKOH,2025-07-15 13:00:00,2025-07-15 17:00:00,-1381.77,LOSS,osc_bull_div_mac_break,trending,OOS
H4,LKOH,2025-07-15 17:00:00,2025-07-17 09:00:00,8885.98,WIN,osc_bull_div_mac_break,trending,OOS
H4,LKOH,2025-08-30 05:00:00,2025-09-01 13:00:00,-9673.68,STOPPED,osc_bull_div_mac_break+osc_stoch_bull_cross,trending,OOS
H4,LKOH,2025-10-09 17:00:00,2025-10-10 09:00:00,-9446.52,LOSS,osc_bull_div_mac_break,trending,OOS
H4,LKOH,2026-01-21 17:00:00,2026-01-22 05:00:00,-926.48,LOSS,osc_micro_w_entry+osc_stoch_bull_cross,trending,OOS
H4,LKOH,2026-02-10 01:00:00,2026-02-10 09:00:00,-15060.91,STOPPED,osc_bull_div_mac_break+osc_micro_w_entry,trending,OOS
H4,LKOH,2026-03-18 17:00:00,2026-03-19 09:00:00,-2102.45,LOSS,osc_bull_div_mac_break,ranging,OOS
H4,LKOH,2026-03-19 09:00:00,2026-03-19 13:00:00,-1607.05,LOSS,osc_bull_div_mac_break,ranging,OOS
H4,LKOH,2026-03-19 13:00:00,2026-03-23 09:00:00,-17689.33,STOPPED,osc_bull_div_mac_break,ranging,OOS
H4,LKOH,2026-05-17 09:00:00,2026-05-19 09:00:00,12637.1,WIN,osc_micro_w_entry+osc_stoch_bull_cross,trending,OOS
H4,LKOH,2026-06-03 01:00:00,2026-06-03 05:00:00,-10771.19,LOSS,osc_bull_div_mac_break,trending,OOS
H4,LKOH,2026-06-26 17:00:00,2026-06-28 13:00:00,4984.38,WIN,osc_bull_div_mac_break,trending,OOS
H4,LKOH,2026-06-28 13:00:00,2026-06-29 01:00:00,-11352.3,LOSS,osc_bull_div_mac_break,trending,OOS
H4,LKOH,2026-06-29 05:00:00,2026-06-30 01:00:00,24083.72,WIN,osc_bull_div_mac_break,trending,OOS
H4,NVTK,2023-11-10 13:00:00,2023-11-14 09:00:00,-21292.12,STOPPED,osc_micro_w_entry+osc_stoch_bull_cross,trending,IS
H4,NVTK,2024-04-04 09:00:00,2024-04-05 09:00:00,-26587.82,STOPPED,osc_bull_div_mac_break,trending,IS
H4,NVTK,2024-04-15 09:00:00,2024-04-15 17:00:00,739.1,WIN,osc_bull_div_mac_break,ranging,IS
H4,NVTK,2024-04-15 17:00:00,2024-04-16 05:00:00,-1162.25,LOSS,osc_bull_div_mac_break,ranging,IS
H4,NVTK,2024-04-16 05:00:00,2024-04-17 09:00:00,-15046.82,STOPPED,osc_bull_div_mac_break,ranging,IS
H4,NVTK,2024-06-11 13:00:00,2024-06-13 09:00:00,-14260.2,LOSS,osc_bull_div_mac_break,trending,IS
H4,NVTK,2024-06-14 09:00:00,2024-06-17 05:00:00,924.86,WIN,osc_bull_div_mac_break+osc_micro_w_entry,trending,IS
H4,NVTK,2024-06-17 05:00:00,2024-06-17 09:00:00,-8339.13,LOSS,osc_bull_div_mac_break,trending,IS
H4,NVTK,2024-07-18 13:00:00,2024-07-19 09:00:00,18188.67,WIN,osc_bull_div_mac_break+osc_micro_w_entry,trending,IS
H4,NVTK,2024-09-16 05:00:00,2024-09-17 09:00:00,8078.53,WIN,osc_bull_div_mac_break+osc_stoch_bull_cross,ranging,IS
H4,NVTK,2024-09-17 09:00:00,2024-09-18 05:00:00,288.36,WIN,osc_bull_div_mac_break,ranging,IS
H4,NVTK,2024-09-18 05:00:00,2024-09-18 09:00:00,-660.83,LOSS,osc_bull_div_mac_break,ranging,IS
H4,NVTK,2024-09-18 09:00:00,2024-09-18 13:00:00,-660.71,LOSS,osc_bull_div_mac_break,ranging,IS
H4,NVTK,2024-09-18 13:00:00,2024-09-18 17:00:00,-2744.88,LOSS,osc_bull_div_mac_break,ranging,IS
H4,NVTK,2024-09-19 05:00:00,2024-09-19 09:00:00,-3648.55,LOSS,osc_bull_div_mac_break,ranging,IS
H4,NVTK,2024-11-02 09:00:00,2024-11-06 13:00:00,35599.6,WIN,osc_micro_w_entry+osc_stoch_bull_cross,trending,IS
H4,NVTK,2024-11-06 13:00:00,2024-11-06 17:00:00,2085.96,WIN,osc_bull_div_mac_break,trending,IS
H4,NVTK,2024-11-06 17:00:00,2024-11-07 09:00:00,6613.75,WIN,osc_bull_div_mac_break,trending,IS
H4,NVTK,2024-11-07 09:00:00,2024-11-11 05:00:00,50190.2,WIN,osc_bull_div_mac_break,trending,IS
H4,NVTK,2024-12-02 05:00:00,2024-12-02 13:00:00,-1514.37,LOSS,osc_bull_div_mac_break+osc_micro_w_entry,trending,IS
H4,NVTK,2024-12-02 13:00:00,2024-12-02 17:00:00,659.19,WIN,osc_bull_div_mac_break,volatile,IS
H4,NVTK,2024-12-02 17:00:00,2024-12-03 05:00:00,-19853.94,LOSS,osc_bull_div_mac_break,volatile,IS
H4,NVTK,2025-04-03 05:00:00,2025-04-04 09:00:00,-48245.43,STOPPED,osc_bull_div_mac_break,volatile,OOS
H4,NVTK,2025-05-07 09:00:00,2025-05-07 17:00:00,45.84,WIN,osc_bull_div_mac_break+osc_micro_w_entry,trending,OOS
H4,NVTK,2025-05-08 01:00:00,2025-05-08 13:00:00,-6366.54,LOSS,osc_bull_div_mac_break,trending,OOS
H4,NVTK,2025-05-08 17:00:00,2025-05-10 05:00:00,3138.35,WIN,osc_bull_div_mac_break,volatile,OOS
H4,NVTK,2025-05-10 05:00:00,2025-05-12 05:00:00,25104.88,WIN,osc_bull_div_mac_break,volatile,OOS
H4,NVTK,2025-06-13 01:00:00,2025-06-13 05:00:00,-4783.26,LOSS,osc_micro_w_entry+osc_stoch_bull_cross,trending,OOS
H4,NVTK,2025-06-14 13:00:00,2025-06-15 09:00:00,-3965.43,LOSS,osc_bull_div_mac_break,trending,OOS
H4,NVTK,2025-08-04 09:00:00,2025-08-05 05:00:00,12568.75,WIN,osc_bull_div_mac_break+osc_micro_w_entry,trending,OOS
H4,NVTK,2025-08-05 05:00:00,2025-08-05 09:00:00,4924.78,WIN,osc_bull_div_mac_break,trending,OOS
H4,NVTK,2025-08-05 09:00:00,2025-08-06 05:00:00,-294.1,LOSS,osc_bull_div_mac_break,trending,OOS
H4,NVTK,2025-09-16 01:00:00,2025-09-17 09:00:00,-131.22,WIN,osc_micro_w_entry+osc_stoch_bull_cross,trending,OOS
H4,NVTK,2025-12-26 05:00:00,2025-12-27 13:00:00,15010.43,WIN,osc_bull_div_mac_break+osc_micro_w_entry+osc_stoch_bull_cross,trending,OOS
H4,NVTK,2025-12-27 13:00:00,2025-12-28 05:00:00,-3292.67,LOSS,osc_bull_div_mac_break,trending,OOS
H4,NVTK,2025-12-28 05:00:00,2025-12-28 09:00:00,2028.99,WIN,osc_bull_div_mac_break,trending,OOS
H4,NVTK,2025-12-28 09:00:00,2025-12-28 13:00:00,6348.19,WIN,osc_bull_div_mac_break,trending,OOS
H4,NVTK,2025-12-28 13:00:00,2025-12-29 01:00:00,-4946.05,LOSS,osc_bull_div_mac_break,trending,OOS
H4,NVTK,2025-12-29 01:00:00,2025-12-29 13:00:00,-12412.42,STOPPED,osc_bull_div_mac_break,trending,OOS
H4,NVTK,2026-01-19 17:00:00,2026-01-21 09:00:00,36475.63,TARGET,osc_bull_div_mac_break,trending,OOS
H4,NVTK,2026-02-20 05:00:00,2026-02-21 13:00:00,4988.33,WIN,osc_bull_div_mac_break+osc_micro_w_entry,volatile,OOS
H4,NVTK,2026-03-19 01:00:00,2026-03-19 09:00:00,-5272.67,LOSS,osc_bull_div_mac_break,volatile,OOS
H4,NVTK,2026-03-19 09:00:00,2026-03-19 13:00:00,1206.88,WIN,osc_bull_div_mac_break,trending,OOS
H4,NVTK,2026-03-19 13:00:00,2026-03-19 17:00:00,-736.99,LOSS,osc_bull_div_mac_break,trending,OOS
H4,NVTK,2026-03-19 17:00:00,2026-03-20 01:00:00,4295.65,WIN,osc_bull_div_mac_break,trending,OOS
H4,NVTK,2026-03-20 01:00:00,2026-03-20 05:00:00,-8500.09,LOSS,osc_bull_div_mac_break,volatile,OOS
H4,NVTK,2026-03-20 05:00:00,2026-03-20 09:00:00,-14874.1,LOSS,osc_bull_div_mac_break,volatile,OOS
H4,NVTK,2026-03-20 17:00:00,2026-03-23 09:00:00,-15466.68,STOPPED,osc_bull_div_mac_break,volatile,OOS
H4,NVTK,2026-04-03 17:00:00,2026-04-06 05:00:00,2101.6,WIN,osc_micro_w_entry+osc_stoch_bull_cross,trending,OOS
H4,NVTK,2026-04-06 17:00:00,2026-04-07 17:00:00,4663.69,WIN,osc_bull_div_mac_break,volatile,OOS
H4,NVTK,2026-05-05 09:00:00,2026-05-06 05:00:00,-1486.71,LOSS,osc_bull_div_mac_break+osc_micro_w_entry+osc_stoch_bull_cross,trending,OOS
H4,NVTK,2026-05-06 05:00:00,2026-05-06 09:00:00,-1741.57,LOSS,osc_bull_div_mac_break,trending,OOS
H4,NVTK,2026-05-06 09:00:00,2026-05-06 13:00:00,-2588.84,LOSS,osc_bull_div_mac_break,trending,OOS
H4,NVTK,2026-05-28 01:00:00,2026-05-31 05:00:00,-2297.37,LOSS,osc_micro_w_entry+osc_stoch_bull_cross,trending,OOS
H4,NVTK,2026-06-26 09:00:00,2026-06-30 01:00:00,19084.28,WIN,osc_micro_w_entry+osc_stoch_bull_cross,trending,OOS
H4,ROSN,2023-09-15 13:00:00,2023-09-18 09:00:00,55.56,WIN,osc_bull_div_mac_break+osc_micro_w_entry,volatile,IS
H4,ROSN,2023-09-18 09:00:00,2023-09-18 13:00:00,-9537.5,LOSS,osc_bull_div_mac_break,ranging,IS
H4,ROSN,2023-10-30 05:00:00,2023-10-31 05:00:00,-21324.42,LOSS,osc_bull_div_mac_break,volatile,IS
